CustomerID,FName,LName,IDCard,Gender,BirthDay,Nationality,Mobile,Email,Address,InsuranceID,CreatedAt
48,Blinnie,Tufts,19-658-4167,F,1983-12-11,Philippines,65932435,btufts1b@pcworld.com,50855 Jenifer Point,595382,2021-09-09 03:57:00
97,Violante,Chessun,51-747-8883,F,1988-03-12,United States,35813998,vchessun2o@nps.gov,0539 Golden Leaf Hill,641363,2021-08-29 12:44:00
40,Kathlin,Chazelle,37-585-8997,F,1990-07-06,United States,54788326,kchazelle13@seattletimes.com,189 Old Gate Crossing,866606,2020-12-13 18:05:00
24,Jesus,Callcott,42-546-1844,M,1992-12-10,Philippines,37507310,jcallcottn@opera.com,4 2nd Street,422183,2021-01-02 12:45:00
90,Frederico,Soppeth,99-108-0168,M,1993-06-04,China,98755578,fsoppeth2h@europa.eu,2853 Artisan Parkway,833711,2021-07-16 10:11:00
45,Essie,Juden,31-282-2413,F,1994-11-01,Portugal,40277604,ejuden18@bandcamp.com,1 Lawn Hill,152434,2021-06-10 20:44:00
19,Wald,Gambrell,40-491-5442,M,1997-03-10,Indonesia,32173280,wgambrelli@e-recht24.de,90 Truax Park,300538,2021-07-17 23:08:00
4,Nerty,Goldson,08-949-6089,F,1998-10-01,China,51392373,ngoldson3@usda.gov,6694 Raven Alley,951556,2021-02-18 20:30:00
10,Jordan,Van Velden,63-021-8505,M,2000-12-01,Yemen,92045454,jvanvelden9@oracle.com,620 Lunder Circle,175172,2021-07-11 15:27:00
37,Dunstan,Bladder,59-336-8268,M,2004-07-01,China,40785928,dbladder10@ted.com,09 Sloan Junction,692320,2021-07-02 08:02:00
44,Natka,Casaletto,00-721-6300,F,2013-12-06,Brazil,80564827,ncasaletto17@statcounter.com,2174 Melrose Crossing,414226,2021-06-07 15:04:00
100,Pearla,Fleet,07-398-9202,F,2020-03-09,Afghanistan,71958060,pfleet2r@smugmug.com,94 Ryan Street,408275,2021-09-03 23:50:00
20,Laverna,Kingzett,98-930-6490,F,2021-12-03,Bolivia,91772157,lkingzettj@hud.gov,46 Elka Lane,748907,2020-10-05 21:47:00
